,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp,tot_pwr
412,0.314,47.5,3.929,46.5,1614747095.414185,7.309
413,0.315,48.0,3.942,46.0,1614747096.4601984,6.78
414,0.275,48.0,4.55,46.5,1614747097.5131986,7.454
415,1.035,46.5,1.472,45.0,1614747098.559604,5.175
416,0.805,45.0,0.04,43.5,1614747099.6046624,3.381
417,0.592,47.0,3.109,46.0,1614747100.6475246,7.124
418,0.394,47.5,3.942,45.5,1614747101.6955583,6.859
419,0.353,48.0,4.433,45.5,1614747102.7407062,7.493
420,0.315,48.0,3.981,46.0,1614747103.792902,6.78
421,0.316,47.0,3.367,45.5,1614747104.8449702,6.061
422,0.353,47.5,4.401,46.0,1614747105.8898647,7.426
423,0.351,47.5,4.723,46.0,1614747106.9425662,8.055
424,0.845,45.0,0.16,44.0,1614747107.9948313,3.577
425,0.885,44.5,0.161,44.0,1614747109.0365028,3.462
426,0.396,46.5,3.327,45.0,1614747110.07674,6.13
427,0.353,47.5,4.472,45.5,1614747111.1271188,7.387
428,0.312,48.0,4.77,46.0,1614747112.175086,7.938
429,0.315,47.0,4.054,45.5,1614747113.216882,7.124
430,0.315,46.5,3.784,45.5,1614747114.2751365,6.78
431,0.353,47.5,4.55,45.5,1614747115.3240101,7.426
432,0.355,46.5,3.169,44.5,1614747116.3766448,5.832
433,0.964,44.5,0.08,43.0,1614747117.416643,3.502
434,1.338,46.0,3.148,45.0,1614747118.4548538,7.084
435,0.315,46.5,3.981,45.0,1614747119.5104012,6.702
436,0.353,47.0,4.433,45.5,1614747120.5622838,7.454
437,0.315,47.0,3.975,45.5,1614747121.6156144,6.927
438,0.277,46.5,3.401,45.0,1614747122.66733,6.249
439,0.354,47.0,3.784,45.0,1614747123.7180324,6.899
440,0.311,47.5,4.794,45.5,1614747124.782507,8.354
441,1.123,44.5,0.24,43.0,1614747125.8292487,3.932
442,0.767,44.0,0.0,44.5,1614747126.8733082,3.104
443,0.355,46.5,3.322,45.0,1614747127.9192116,6.249
444,0.315,46.5,3.784,44.5,1614747128.9715402,6.78
445,0.312,47.5,4.692,45.5,1614747130.0303526,8.198
